Class,Class_fullname,Approach,Response_model_form,Response_model_index,Response_model_goal,Response_model_detail,Approach2,Approach3,Stringency,Indicator_Type,Indicator,Threshold_value,Flag
SB0,"Soft bottom engineered channel, no hardened sides",Response,SCAM,ASCI_H,0.79,"Additive model, 50% probability of attanining ASCI_H score above 0.79.",Response SCAM ASCI_H,Response (SCAM) ASCI_H SB0,Intermediate,Biostimulatory,TN,0.847,
SB0,"Soft bottom engineered channel, no hardened sides",Response,SCAM,ASCI_H,0.64,"Additive model, 50% probability of attanining ASCI_H score above 0.64.",Response SCAM ASCI_H,Response (SCAM) ASCI_H SB0,Low,Biostimulatory,TN,1.961,
SB0,"Soft bottom engineered channel, no hardened sides",Response,SCAM,CSCI,0.99,"Additive model, 50% probability of attanining CSCI score above 0.99.",Response SCAM CSCI,Response (SCAM) CSCI SB0,High,Biostimulatory,TN,NA,Biostimulatory threshsold is set for a biointegrity goal that is above reference.
SB0,"Soft bottom engineered channel, no hardened sides",Response,SCAM,CSCI,0.78,"Additive model, 50% probability of attanining CSCI score above 0.78.",Response SCAM CSCI,Response (SCAM) CSCI SB0,Intermediate,Biostimulatory,TN,1.096,
SB0,"Soft bottom engineered channel, no hardened sides",Response,SCAM,CSCI,0.66,"Additive model, 50% probability of attanining CSCI score above 0.66.",Response SCAM CSCI,Response (SCAM) CSCI SB0,Low,Biostimulatory,TN,2.222,Biostimulatory threshsold is set for a biointegrity goal that is above reference.
CC,Constructed channel,Best observed,,,,,Best observed,Best observed CC,High,Biostimulatory,TN,NA,Insufficient data
CC,Constructed channel,Best observed,,,,,Best observed,Best observed CC,Intermediate,Biostimulatory,TN,NA,Insufficient data
CC,Constructed channel,Best observed,,,,,Best observed,Best observed CC,Low,Biostimulatory,TN,NA,Insufficient data
CC,Constructed channel,Response,SCAM,ASCI_D,NA,"Additive model, 50% probability of attanining ASCI_D score above NA.",Response SCAM ASCI_D,Response (SCAM) ASCI_D CC,High,Biostimulatory,TN,NA,Insufficient data
CC,Constructed channel,Response,SCAM,ASCI_D,NA,"Additive model, 50% probability of attanining ASCI_D score above NA.",Response SCAM ASCI_D,Response (SCAM) ASCI_D CC,Intermediate,Biostimulatory,TN,NA,Insufficient data
CC,Constructed channel,Response,SCAM,ASCI_D,NA,"Additive model, 50% probability of attanining ASCI_D score above NA.",Response SCAM ASCI_D,Response (SCAM) ASCI_D CC,Low,Biostimulatory,TN,NA,Insufficient data
CC,Constructed channel,Response,SCAM,ASCI_H,NA,"Additive model, 50% probability of attanining ASCI_H score above NA.",Response SCAM ASCI_H,Response (SCAM) ASCI_H CC,High,Biostimulatory,TN,NA,Insufficient data
CC,Constructed channel,Response,SCAM,ASCI_H,NA,"Additive model, 50% probability of attanining ASCI_H score above NA.",Response SCAM ASCI_H,Response (SCAM) ASCI_H CC,Intermediate,Biostimulatory,TN,NA,Insufficient data
CC,Constructed channel,Response,SCAM,ASCI_H,NA,"Additive model, 50% probability of attanining ASCI_H score above NA.",Response SCAM ASCI_H,Response (SCAM) ASCI_H CC,Low,Biostimulatory,TN,NA,Insufficient data
CC,Constructed channel,Response,SCAM,CSCI,0.53,"Additive model, 50% probability of attanining CSCI score above 0.53.",Response SCAM CSCI,Response (SCAM) CSCI CC,High,Biostimulatory,TN,NA,Insufficient data
CC,Constructed channel,Response,SCAM,CSCI,0.45,"Additive model, 50% probability of attanining CSCI score above 0.45.",Response SCAM CSCI,Response (SCAM) CSCI CC,Intermediate,Biostimulatory,TN,NA,Insufficient data
CC,Constructed channel,Response,SCAM,CSCI,0.37,"Additive model, 50% probability of attanining CSCI score above 0.37.",Response SCAM CSCI,Response (SCAM) CSCI CC,Low,Biostimulatory,TN,NA,Insufficient data
Wadeable streams,Wadeable streams,Reference,,,,,Reference,Reference Wadeable streams,High,Biostimulatory,TP,0,
Wadeable streams,Wadeable streams,Reference,,,,,Reference,Reference Wadeable streams,Intermediate,Biostimulatory,TP,0.012,
Wadeable streams,Wadeable streams,Reference,,,,,Reference,Reference Wadeable streams,Low,Biostimulatory,TP,0.026,
Wadeable streams,Wadeable streams,Response,LR,ASCI_D,0.94,"Logistic model, 80% probability of attanining ASCI_D score above 0.94.",Response LR ASCI_D,Response (LR) ASCI_D Wadeable streams,High,Biostimulatory,TP,0.021,
Wadeable streams,Wadeable streams,Response,LR,ASCI_D,0.86,"Logistic model, 80% probability of attanining ASCI_D score above 0.86.",Response LR ASCI_D,Response (LR) ASCI_D Wadeable streams,Intermediate,Biostimulatory,TP,0.054,
Wadeable streams,Wadeable streams,Response,LR,ASCI_D,0.75,"Logistic model, 80% probability of attanining ASCI_D score above 0.75.",Response LR ASCI_D,Response (LR) ASCI_D Wadeable streams,Low,Biostimulatory,TP,0.141,
Wadeable streams,Wadeable streams,Response,LR,ASCI_H,0.94,"Logistic model, 80% probability of attanining ASCI_H score above 0.94.",Response LR ASCI_H,Response (LR) ASCI_H Wadeable streams,High,Biostimulatory,TP,0.030,
Wadeable streams,Wadeable streams,Response,LR,ASCI_H,0.86,"Logistic model, 80% probability of attanining ASCI_H score above 0.86.",Response LR ASCI_H,Response (LR) ASCI_H Wadeable streams,Intermediate,Biostimulatory,TP,0.054,
Wadeable streams,Wadeable streams,Response,LR,ASCI_H,0.75,"Logistic model, 80% probability of attanining ASCI_H score above 0.75.",Response LR ASCI_H,Response (LR) ASCI_H Wadeable streams,Low,Biostimulatory,TP,0.156,
Wadeable streams,Wadeable streams,Response,LR,CSCI,0.92,"Logistic model, 80% probability of attanining CSCI score above 0.92.",Response LR CSCI,Response (LR) CSCI Wadeable streams,High,Biostimulatory,TP,0.051,
Wadeable streams,Wadeable streams,Response,LR,CSCI,0.79,"Logistic model, 80% probability of attanining CSCI score above 0.79.",Response LR CSCI,Response (LR) CSCI Wadeable streams,Intermediate,Biostimulatory,TP,0.194,
Wadeable streams,Wadeable streams,Response,LR,CSCI,0.63,"Logistic model, 80% probability of attanining CSCI score above 0.63.",Response LR CSCI,Response (LR) CSCI Wadeable streams,Low,Biostimulatory,TP,0.770,
Wadeable streams,Wadeable streams,Response,SCAM,ASCI_D,0.94,"Additive model, 50% probability of attanining ASCI_D score above 0.94.",Response SCAM ASCI_D,Response (SCAM) ASCI_D Wadeable streams,High,Biostimulatory,TP,NA,No threshold identified
Wadeable streams,Wadeable streams,Response,SCAM,ASCI_D,0.86,"Additive model, 50% probability of attanining ASCI_D score above 0.86.",Response SCAM ASCI_D,Response (SCAM) ASCI_D Wadeable streams,Intermediate,Biostimulatory,TP,0.044,
Wadeable streams,Wadeable streams,Response,SCAM,ASCI_D,0.75,"Additive model, 50% probability of attanining ASCI_D score above 0.75.",Response SCAM ASCI_D,Response (SCAM) ASCI_D Wadeable streams,Low,Biostimulatory,TP,0.122,
Wadeable streams,Wadeable streams,Response,SCAM,ASCI_H,0.94,"Additive model, 50% probability of attanining ASCI_H score above 0.94.",Response SCAM ASCI_H,Response (SCAM) ASCI_H Wadeable streams,High,Biostimulatory,TP,0.005,
Wadeable streams,Wadeable streams,Response,SCAM,ASCI_H,0.86,"Additive model, 50% probability of attanining ASCI_H score above 0.86.",Response SCAM ASCI_H,Response (SCAM) ASCI_H Wadeable streams,Intermediate,Biostimulatory,TP,0.056,
Wadeable streams,Wadeable streams,Response,SCAM,ASCI_H,0.75,"Additive model, 50% probability of attanining ASCI_H score above 0.75.",Response SCAM ASCI_H,Response (SCAM) ASCI_H Wadeable streams,Low,Biostimulatory,TP,0.135,
Wadeable streams,Wadeable streams,Response,SCAM,CSCI,0.92,"Additive model, 50% probability of attanining CSCI score above 0.92.",Response SCAM CSCI,Response (SCAM) CSCI Wadeable streams,High,Biostimulatory,TP,0.026,
Wadeable streams,Wadeable streams,Response,SCAM,CSCI,0.79,"Additive model, 50% probability of attanining CSCI score above 0.79.",Response SCAM CSCI,Response (SCAM) CSCI Wadeable streams,Intermediate,Biostimulatory,TP,0.102,
Wadeable streams,Wadeable streams,Response,SCAM,CSCI,0.63,"Additive model, 50% probability of attanining CSCI score above 0.63.",Response SCAM CSCI,Response (SCAM) CSCI Wadeable streams,Low,Biostimulatory,TP,0.249,
RFI-N,Intermittent northern California,Reference,,,,,Reference,Reference RFI-N,High,Biostimulatory,TP,0.002,
RFI-N,Intermittent northern California,Reference,,,,,Reference,Reference RFI-N,Intermediate,Biostimulatory,TP,0.010,
RFI-N,Intermittent northern California,Reference,,,,,Reference,Reference RFI-N,Low,Biostimulatory,TP,0.022,
RFI-S,Intermittent southern California,Reference,,,,,Reference,Reference RFI-S,High,Biostimulatory,TP,0.008,
RFI-S,Intermittent southern California,Reference,,,,,Reference,Reference RFI-S,Intermediate,Biostimulatory,TP,0.015,
RFI-S,Intermittent southern California,Reference,,,,,Reference,Reference RFI-S,Low,Biostimulatory,TP,0.031,
CVF,Central Valley Floor,Best observed,,,,,Best observed,Best observed CVF,High,Biostimulatory,TP,0.012,
CVF,Central Valley Floor,Best observed,,,,,Best observed,Best observed CVF,Intermediate,Biostimulatory,TP,0.028,
CVF,Central Valley Floor,Best observed,,,,,Best observed,Best observed CVF,Low,Biostimulatory,TP,0.057,
CVF,Central Valley Floor,Response,SCAM,ASCI_D,1.13,"Additive model, 50% probability of attanining ASCI_D score above 1.13.",Response SCAM ASCI_D,Response (SCAM) ASCI_D CVF,High,Biostimulatory,TP,NA,Biostimulatory threshsold is set for a biointegrity goal that is above reference.
CVF,Central Valley Floor,Response,SCAM,ASCI_D,1.02,"Additive model, 50% probability of attanining ASCI_D score above 1.02.",Response SCAM ASCI_D,Response (SCAM) ASCI_D CVF,Intermediate,Biostimulatory,TP,NA,Biostimulatory threshsold is set for a biointegrity goal that is above reference.
CVF,Central Valley Floor,Response,SCAM,ASCI_D,0.92,"Additive model, 50% probability of attanining ASCI_D score above 0.92.",Response SCAM ASCI_D,Response (SCAM) ASCI_D CVF,Low,Biostimulatory,TP,0.009,Biostimulatory threshsold is set for a biointegrity goal that is above reference.
CVF,Central Valley Floor,Response,SCAM,ASCI_H,1.05,"Additive model, 50% probability of attanining ASCI_H score above 1.05.",Response SCAM ASCI_H,Response (SCAM) ASCI_H CVF,High,Biostimulatory,TP,NA,Biostimulatory threshsold is set for a biointegrity goal that is above reference.
CVF,Central Valley Floor,Response,SCAM,ASCI_H,0.94,"Additive model, 50% probability of attanining ASCI_H score above 0.94.",Response SCAM ASCI_H,Response (SCAM) ASCI_H CVF,Intermediate,Biostimulatory,TP,0.009,Biostimulatory threshsold is set for a biointegrity goal that is above reference.
CVF,Central Valley Floor,Response,SCAM,ASCI_H,0.8,"Additive model, 50% probability of attanining ASCI_H score above 0.8.",Response SCAM ASCI_H,Response (SCAM) ASCI_H CVF,Low,Biostimulatory,TP,0.096,Biostimulatory threshsold is set for a biointegrity goal that is above reference.
CVF,Central Valley Floor,Response,SCAM,CSCI,0.85,"Additive model, 50% probability of attanining CSCI score above 0.85.",Response SCAM CSCI,Response (SCAM) CSCI CVF,High,Biostimulatory,TP,0.065,
CVF,Central Valley Floor,Response,SCAM,CSCI,0.67,"Additive model, 50% probability of attanining CSCI score above 0.67.",Response SCAM CSCI,Response (SCAM) CSCI CVF,Intermediate,Biostimulatory,TP,0.203,
CVF,Central Valley Floor,Response,SCAM,CSCI,0.52,"Additive model, 50% probability of attanining CSCI score above 0.52.",Response SCAM CSCI,Response (SCAM) CSCI CVF,Low,Biostimulatory,TP,NA,No threshold identified
HB,Hard bottom,Best observed,,,,,Best observed,Best observed HB,High,Biostimulatory,TP,0,
HB,Hard bottom,Best observed,,,,,Best observed,Best observed HB,Intermediate,Biostimulatory,TP,0.027,
HB,Hard bottom,Best observed,,,,,Best observed,Best observed HB,Low,Biostimulatory,TP,0.068,
HB,Hard bottom,Response,SCAM,ASCI_D,1.05,"Additive model, 50% probability of attanining ASCI_D score above 1.05.",Response SCAM ASCI_D,Response (SCAM) ASCI_D HB,High,Biostimulatory,TP,NA,Biostimulatory threshsold is set for a biointegrity goal that is above reference.
HB,Hard bottom,Response,SCAM,ASCI_D,0.88,"Additive model, 50% probability of attanining ASCI_D score above 0.88.",Response SCAM ASCI_D,Response (SCAM) ASCI_D HB,Intermediate,Biostimulatory,TP,0.032,Biostimulatory threshsold is set for a biointegrity goal that is above reference.
HB,Hard bottom,Response,SCAM,ASCI_D,0.74,"Additive model, 50% probability of attanining ASCI_D score above 0.74.",Response SCAM ASCI_D,Response (SCAM) ASCI_D HB,Low,Biostimulatory,TP,0.131,
HB,Hard bottom,Response,SCAM,ASCI_H,1.02,"Additive model, 50% probability of attanining ASCI_H score above 1.02.",Response SCAM ASCI_H,Response (SCAM) ASCI_H HB,High,Biostimulatory,TP,NA,Biostimulatory threshsold is set for a biointegrity goal that is above reference.
HB,Hard bottom,Response,SCAM,ASCI_H,0.87,"Additive model, 50% probability of attanining ASCI_H score above 0.87.",Response SCAM ASCI_H,Response (SCAM) ASCI_H HB,Intermediate,Biostimulatory,TP,0.050,Biostimulatory threshsold is set for a biointegrity goal that is above reference.
HB,Hard bottom,Response,SCAM,ASCI_H,0.74,"Additive model, 50% probability of attanining ASCI_H score above 0.74.",Response SCAM ASCI_H,Response (SCAM) ASCI_H HB,Low,Biostimulatory,TP,0.144,
HB,Hard bottom,Response,SCAM,CSCI,0.74,"Additive model, 50% probability of attanining CSCI score above 0.74.",Response SCAM CSCI,Response (SCAM) CSCI HB,High,Biostimulatory,TP,0.140,
HB,Hard bottom,Response,SCAM,CSCI,0.67,"Additive model, 50% probability of attanining CSCI score above 0.67.",Response SCAM CSCI,Response (SCAM) CSCI HB,Intermediate,Biostimulatory,TP,0.203,
HB,Hard bottom,Response,SCAM,CSCI,0.55,"Additive model, 50% probability of attanining CSCI score above 0.55.",Response SCAM CSCI,Response (SCAM) CSCI HB,Low,Biostimulatory,TP,0.408,
SB2,"Soft bottom engineered channel, two hardened sides",Best observed,,,,,Best observed,Best observed SB2,High,Biostimulatory,TP,0,
SB2,"Soft bottom engineered channel, two hardened sides",Best observed,,,,,Best observed,Best observed SB2,Intermediate,Biostimulatory,TP,0.009,
SB2,"Soft bottom engineered channel, two hardened sides",Best observed,,,,,Best observed,Best observed SB2,Low,Biostimulatory,TP,0.050,
SB2,"Soft bottom engineered channel, two hardened sides",Response,SCAM,ASCI_D,0.93,"Additive model, 50% probability of attanining ASCI_D score above 0.93.",Response SCAM ASCI_D,Response (SCAM) ASCI_D SB2,High,Biostimulatory,TP,0.003,
SB2,"Soft bottom engineered channel, two hardened sides",Response,SCAM,ASCI_D,0.77,"Additive model, 50% probability of attanining ASCI_D score above 0.77.",Response SCAM ASCI_D,Response (SCAM) ASCI_D SB2,Intermediate,Biostimulatory,TP,0.107,
SB2,"Soft bottom engineered channel, two hardened sides",Response,SCAM,ASCI_D,0.64,"Additive model, 50% probability of attanining ASCI_D score above 0.64.",Response SCAM ASCI_D,Response (SCAM) ASCI_D SB2,Low,Biostimulatory,TP,0.236,
SB2,"Soft bottom engineered channel, two hardened sides",Response,SCAM,ASCI_H,0.88,"Additive model, 50% probability of attanining ASCI_H score above 0.88.",Response SCAM ASCI_H,Response (SCAM) ASCI_H SB2,High,Biostimulatory,TP,0.044,
SB2,"Soft bottom engineered channel, two hardened sides",Response,SCAM,ASCI_H,0.76,"Additive model, 50% probability of attanining ASCI_H score above 0.76.",Response SCAM ASCI_H,Response (SCAM) ASCI_H SB2,Intermediate,Biostimulatory,TP,0.128,
SB2,"Soft bottom engineered channel, two hardened sides",Response,SCAM,ASCI_H,0.6,"Additive model, 50% probability of attanining ASCI_H score above 0.6.",Response SCAM ASCI_H,Response (SCAM) ASCI_H SB2,Low,Biostimulatory,TP,0.323,
SB2,"Soft bottom engineered channel, two hardened sides",Response,SCAM,CSCI,0.96,"Additive model, 50% probability of attanining CSCI score above 0.96.",Response SCAM CSCI,Response (SCAM) CSCI SB2,High,Biostimulatory,TP,0.005,Biostimulatory threshsold is set for a biointegrity goal that is above reference.
SB2,"Soft bottom engineered channel, two hardened sides",Response,SCAM,CSCI,0.75,"Additive model, 50% probability of attanining CSCI score above 0.75.",Response SCAM CSCI,Response (SCAM) CSCI SB2,Intermediate,Biostimulatory,TP,0.132,
SB2,"Soft bottom engineered channel, two hardened sides",Response,SCAM,CSCI,0.64,"Additive model, 50% probability of attanining CSCI score above 0.64.",Response SCAM CSCI,Response (SCAM) CSCI SB2,Low,Biostimulatory,TP,0.236,Biostimulatory threshsold is set for a biointegrity goal that is above reference.
SB1,"Soft bottom engineered channel, one hardened side",Best observed,,,,,Best observed,Best observed SB1,High,Biostimulatory,TP,0.007,
SB1,"Soft bottom engineered channel, one hardened side",Best observed,,,,,Best observed,Best observed SB1,Intermediate,Biostimulatory,TP,0.011,
SB1,"Soft bottom engineered channel, one hardened side",Best observed,,,,,Best observed,Best observed SB1,Low,Biostimulatory,TP,0.047,
SB1,"Soft bottom engineered channel, one hardened side",Response,SCAM,ASCI_D,1.01,"Additive model, 50% probability of attanining ASCI_D score above 1.01.",Response SCAM ASCI_D,Response (SCAM) ASCI_D SB1,High,Biostimulatory,TP,NA,Biostimulatory threshsold is set for a biointegrity goal that is above reference.
SB1,"Soft bottom engineered channel, one hardened side",Response,SCAM,ASCI_D,0.85,"Additive model, 50% probability of attanining ASCI_D score above 0.85.",Response SCAM ASCI_D,Response (SCAM) ASCI_D SB1,Intermediate,Biostimulatory,TP,0.051,
SB1,"Soft bottom engineered channel, one hardened side",Response,SCAM,ASCI_D,0.68,"Additive model, 50% probability of attanining ASCI_D score above 0.68.",Response SCAM ASCI_D,Response (SCAM) ASCI_D SB1,Low,Biostimulatory,TP,0.188,
SB1,"Soft bottom engineered channel, one hardened side",Response,SCAM,ASCI_H,0.97,"Additive model, 50% probability of attanining ASCI_H score above 0.97.",Response SCAM ASCI_H,Response (SCAM) ASCI_H SB1,High,Biostimulatory,TP,NA,Biostimulatory threshsold is set for a biointegrity goal that is above reference.
SB1,"Soft bottom engineered channel, one hardened side",Response,SCAM,ASCI_H,0.86,"Additive model, 50% probability of attanining ASCI_H score above 0.86.",Response SCAM ASCI_H,Response (SCAM) ASCI_H SB1,Intermediate,Biostimulatory,TP,0.056,
SB1,"Soft bottom engineered channel, one hardened side",Response,SCAM,ASCI_H,0.67,"Additive model, 50% probability of attanining ASCI_H score above 0.67.",Response SCAM ASCI_H,Response (SCAM) ASCI_H SB1,Low,Biostimulatory,TP,0.215,
SB1,"Soft bottom engineered channel, one hardened side",Response,SCAM,CSCI,1.1,"Additive model, 50% probability of attanining CSCI score above 1.1.",Response SCAM CSCI,Response (SCAM) CSCI SB1,High,Biostimulatory,TP,NA,Biostimulatory threshsold is set for a biointegrity goal that is above reference.
SB1,"Soft bottom engineered channel, one hardened side",Response,SCAM,CSCI,1,"Additive model, 50% probability of attanining CSCI score above 1.",Response SCAM CSCI,Response (SCAM) CSCI SB1,Intermediate,Biostimulatory,TP,NA,Biostimulatory threshsold is set for a biointegrity goal that is above reference.
SB1,"Soft bottom engineered channel, one hardened side",Response,SCAM,CSCI,0.81,"Additive model, 50% probability of attanining CSCI score above 0.81.",Response SCAM CSCI,Response (SCAM) CSCI SB1,Low,Biostimulatory,TP,0.089,Biostimulatory threshsold is set for a biointegrity goal that is above reference.
SB0,"Soft bottom engineered channel, no hardened sides",Best observed,,,,,Best observed,Best observed SB0,High,Biostimulatory,TP,0.009,
SB0,"Soft bottom engineered channel, no hardened sides",Best observed,,,,,Best observed,Best observed SB0,Intermediate,Biostimulatory,TP,0.038,
SB0,"Soft bottom engineered channel, no hardened sides",Best observed,,,,,Best observed,Best observed SB0,Low,Biostimulatory,TP,0.079,
SB0,"Soft bottom engineered channel, no hardened sides",Response,SCAM,ASCI_D,1.01,"Additive model, 50% probability of attanining ASCI_D score above 1.01.",Response SCAM ASCI_D,Response (SCAM) ASCI_D SB0,High,Biostimulatory,TP,NA,Biostimulatory threshsold is set for a biointegrity goal that is above reference.
SB0,"Soft bottom engineered channel, no hardened sides",Response,SCAM,ASCI_D,0.77,"Additive model, 50% probability of attanining ASCI_D score above 0.77.",Response SCAM ASCI_D,Response (SCAM) ASCI_D SB0,Intermediate,Biostimulatory,TP,0.107,
SB0,"Soft bottom engineered channel, no hardened sides",Response,SCAM,ASCI_D,0.68,"Additive model, 50% probability of attanining ASCI_D score above 0.68.",Response SCAM ASCI_D,Response (SCAM) ASCI_D SB0,Low,Biostimulatory,TP,0.188,
SB0,"Soft bottom engineered channel, no hardened sides",Response,SCAM,ASCI_H,0.94,"Additive model, 50% probability of attanining ASCI_H score above 0.94.",Response SCAM ASCI_H,Response (SCAM) ASCI_H SB0,High,Biostimulatory,TP,0.009,
SB0,"Soft bottom engineered channel, no hardened sides",Response,SCAM,ASCI_H,0.79,"Additive model, 50% probability of attanining ASCI_H score above 0.79.",Response SCAM ASCI_H,Response (SCAM) ASCI_H SB0,Intermediate,Biostimulatory,TP,0.104,
SB0,"Soft bottom engineered channel, no hardened sides",Response,SCAM,ASCI_H,0.64,"Additive model, 50% probability of attanining ASCI_H score above 0.64.",Response SCAM ASCI_H,Response (SCAM) ASCI_H SB0,Low,Biostimulatory,TP,0.254,
SB0,"Soft bottom engineered channel, no hardened sides",Response,SCAM,CSCI,0.99,"Additive model, 50% probability of attanining CSCI score above 0.99.",Response SCAM CSCI,Response (SCAM) CSCI SB0,High,Biostimulatory,TP,NA,Biostimulatory threshsold is set for a biointegrity goal that is above reference.
SB0,"Soft bottom engineered channel, no hardened sides",Response,SCAM,CSCI,0.78,"Additive model, 50% probability of attanining CSCI score above 0.78.",Response SCAM CSCI,Response (SCAM) CSCI SB0,Intermediate,Biostimulatory,TP,0.110,
SB0,"Soft bottom engineered channel, no hardened sides",Response,SCAM,CSCI,0.66,"Additive model, 50% probability of attanining CSCI score above 0.66.",Response SCAM CSCI,Response (SCAM) CSCI SB0,Low,Biostimulatory,TP,0.213,Biostimulatory threshsold is set for a biointegrity goal that is above reference.
CC,Constructed channel,Best observed,,,,,Best observed,Best observed CC,High,Biostimulatory,TP,NA,Insufficient data
CC,Constructed channel,Best observed,,,,,Best observed,Best observed CC,Intermediate,Biostimulatory,TP,NA,Insufficient data
CC,Constructed channel,Best observed,,,,,Best observed,Best observed CC,Low,Biostimulatory,TP,NA,Insufficient data
CC,Constructed channel,Response,SCAM,ASCI_D,NA,"Additive model, 50% probability of attanining ASCI_D score above NA.",Response SCAM ASCI_D,Response (SCAM) ASCI_D CC,High,Biostimulatory,TP,NA,Insufficient data
CC,Constructed channel,Response,SCAM,ASCI_D,NA,"Additive model, 50% probability of attanining ASCI_D score above NA.",Response SCAM ASCI_D,Response (SCAM) ASCI_D CC,Intermediate,Biostimulatory,TP,NA,Insufficient data
CC,Constructed channel,Response,SCAM,ASCI_D,NA,"Additive model, 50% probability of attanining ASCI_D score above NA.",Response SCAM ASCI_D,Response (SCAM) ASCI_D CC,Low,Biostimulatory,TP,NA,Insufficient data
CC,Constructed channel,Response,SCAM,ASCI_H,NA,"Additive model, 50% probability of attanining ASCI_H score above NA.",Response SCAM ASCI_H,Response (SCAM) ASCI_H CC,High,Biostimulatory,TP,NA,Insufficient data
CC,Constructed channel,Response,SCAM,ASCI_H,NA,"Additive model, 50% probability of attanining ASCI_H score above NA.",Response SCAM ASCI_H,Response (SCAM) ASCI_H CC,Intermediate,Biostimulatory,TP,NA,Insufficient data
CC,Constructed channel,Response,SCAM,ASCI_H,NA,"Additive model, 50% probability of attanining ASCI_H score above NA.",Response SCAM ASCI_H,Response (SCAM) ASCI_H CC,Low,Biostimulatory,TP,NA,Insufficient data
CC,Constructed channel,Response,SCAM,CSCI,0.53,"Additive model, 50% probability of attanining CSCI score above 0.53.",Response SCAM CSCI,Response (SCAM) CSCI CC,High,Biostimulatory,TP,0.557,
CC,Constructed channel,Response,SCAM,CSCI,0.45,"Additive model, 50% probability of attanining CSCI score above 0.45.",Response SCAM CSCI,Response (SCAM) CSCI CC,Intermediate,Biostimulatory,TP,NA,Insufficient data
CC,Constructed channel,Response,SCAM,CSCI,0.37,"Additive model, 50% probability of attanining CSCI score above 0.37.",Response SCAM CSCI,Response (SCAM) CSCI CC,Low,Biostimulatory,TP,NA,Insufficient data
Wadeable streams,Wadeable streams,Reference,,,,,Reference,Reference Wadeable streams,High,Biostimulatory,Chl-a,0,
Wadeable streams,Wadeable streams,Reference,,,,,Reference,Reference Wadeable streams,Intermediate,Biostimulatory,Chl-a,8.0,
Wadeable streams,Wadeable streams,Reference,,,,,Reference,Reference Wadeable streams,Low,Biostimulatory,Chl-a,48.5,
Wadeable streams,Wadeable streams,Response,LR,ASCI_D,0.94,"Logistic model, 80% probability of attanining ASCI_D score above 0.94.",Response LR ASCI_D,Response (LR) ASCI_D Wadeable streams,High,Biostimulatory,Chl-a,46.8,
Wadeable streams,Wadeable streams,Response,LR,ASCI_D,0.86,"Logistic model, 80% probability of attanining ASCI_D score above 0.86.",Response LR ASCI_D,Response (LR) ASCI_D Wadeable streams,Intermediate,Biostimulatory,Chl-a,46.8,
Wadeable streams,Wadeable streams,Response,LR,ASCI_D,0.75,"Logistic model, 80% probability of attanining ASCI_D score above 0.75.",Response LR ASCI_D,Response (LR) ASCI_D Wadeable streams,Low,Biostimulatory,Chl-a,83.2,
Wadeable streams,Wadeable streams,Response,LR,ASCI_H,0.94,"Logistic model, 80% probability of attanining ASCI_H score above 0.94.",Response LR ASCI_H,Response (LR) ASCI_H Wadeable streams,High,Biostimulatory,Chl-a,46.5,
Wadeable streams,Wadeable streams,Response,LR,ASCI_H,0.86,"Logistic model, 80% probability of attanining ASCI_H score above 0.86.",Response LR ASCI_H,Response (LR) ASCI_H Wadeable streams,Intermediate,Biostimulatory,Chl-a,44.1,
Wadeable streams,Wadeable streams,Response,LR,ASCI_H,0.75,"Logistic model, 80% probability of attanining ASCI_H score above 0.75.",Response LR ASCI_H,Response (LR) ASCI_H Wadeable streams,Low,Biostimulatory,Chl-a,77.8,
Wadeable streams,Wadeable streams,Response,LR,CSCI,0.92,"Logistic model, 80% probability of attanining CSCI score above 0.92.",Response LR CSCI,Response (LR) CSCI Wadeable streams,High,Biostimulatory,Chl-a,26.4,
Wadeable streams,Wadeable streams,Response,LR,CSCI,0.79,"Logistic model, 80% probability of attanining CSCI score above 0.79.",Response LR CSCI,Response (LR) CSCI Wadeable streams,Intermediate,Biostimulatory,Chl-a,48.9,
Wadeable streams,Wadeable streams,Response,LR,CSCI,0.63,"Logistic model, 80% probability of attanining CSCI score above 0.63.",Response LR CSCI,Response (LR) CSCI Wadeable streams,Low,Biostimulatory,Chl-a,98.5,
Wadeable streams,Wadeable streams,Response,SCAM,ASCI_D,0.94,"Additive model, 50% probability of attanining ASCI_D score above 0.94.",Response SCAM ASCI_D,Response (SCAM) ASCI_D Wadeable streams,High,Biostimulatory,Chl-a,NA,No threshold identified
Wadeable streams,Wadeable streams,Response,SCAM,ASCI_D,0.86,"Additive model, 50% probability of attanining ASCI_D score above 0.86.",Response SCAM ASCI_D,Response (SCAM) ASCI_D Wadeable streams,Intermediate,Biostimulatory,Chl-a,19.5,
Wadeable streams,Wadeable streams,Response,SCAM,ASCI_D,0.75,"Additive model, 50% probability of attanining ASCI_D score above 0.75.",Response SCAM ASCI_D,Response (SCAM) ASCI_D Wadeable streams,Low,Biostimulatory,Chl-a,64.9,
Wadeable streams,Wadeable streams,Response,SCAM,ASCI_H,0.94,"Additive model, 50% probability of attanining ASCI_H score above 0.94.",Response SCAM ASCI_H,Response (SCAM) ASCI_H Wadeable streams,High,Biostimulatory,Chl-a,NA,No threshold identified
Wadeable streams,Wadeable streams,Response,SCAM,ASCI_H,0.86,"Additive model, 50% probability of attanining ASCI_H score above 0.86.",Response SCAM ASCI_H,Response (SCAM) ASCI_H Wadeable streams,Intermediate,Biostimulatory,Chl-a,24.3,
